occupation1,,,occupation2,,,occupation3,,
WIFE OF A CITIZEN,US CITIZEN,AFFILIATED,LAUNDRY PROPRIETOR,MERCHANT,OWN,CIGAR FACTORY,UNKNOWN,OWN
RETURNING CITIZEN,US CITIZEN,OWN,ADOPTED DAUGHTER,UNKNOWN,OWN,SEAMAN ,BONDED TRANSIT/ ENTRY,OWN
NATIVE,US CITIZEN,OWN,BOATSWAIN,BONDED TRANSIT/ ENTRY,OWN,STAMPER ,,
GOVERNMENT OFFICIAL,GOV,OWN,FIREMAN,BONDED TRANSIT/ ENTRY,OWN,PLAY WRITER/DIRECTOR ,BONDED TRANSIT/ ENTRY,OWN
INSPECTOR/BURGLAR ALARMS,UNKNOWN,OWN,STOWAWAY,INVESTIGATION,OWN,U.S. ARMY,US CITIZEN,OWN
SECRETARY,UNKNOWN,OWN,NEWSPAPER MANAGER,GOV,OWN,TEACHER ,TEACHER,OWN
CHINESE ACTOR,BONDED TRANSIT/ ENTRY,OWN,CURIOS DEALER,MERCHANT,OWN,COOK & WAITER ,LABORER,OWN
TAILOR,UNKNOWN,OWN,NURSE,UNKNOWN,OWN,,,
CHINESE DIPLOMAT,GOV,OWN,HEAD WAITER,LABORER,OWN,,,
STOWAWAY,INVESTIGATION,OWN,DISHWASHER & WAITER,LABORER,OWN,,,
DAUGHTER OF A CITIZEN,US CITIZEN,AFFILIATED,TRAVELER,TRAVELER,OWN,,,
HEAD WAITER,LABORER,OWN,RESTAURANT PROPRIETOR,MERCHANT,OWN,,,
LAUNDRY PROPRIETOR,LABORER,OWN,KITCHEN WORKER & BUSBOY,LABORER,OWN,,,
TOURIST,TRAVELER,OWN,VEGETABLE PEDDLER,LABORER,OWN,,,
GOVERNMENT DELEGATE*,GOV,OWN,BOOKKEEPER & SALESMAN,MERCHANT,OWN,,,
VICE PRESIDENT,GOV,OWN,EDITOR IN CHIEF,GOV,OWN,,,
PRESIDENT,GOV,OWN,CASHIER & BOOKKEEPER,MERCHANT,OWN,,,
MUSICIAN,BONDED TRANSIT/ ENTRY,OWN,LIFE INSURANCE SALESMAN,UNKNOWN,OWN,,,
EXPORTER & IMPORTER,MERCHANT,OWN,DOCTOR,MERCHANT,OWN,,,
SHIP'S COOK & STEWARD,BONDED TRANSIT/ ENTRY,OWN,GENERAL MANAGER,MERCHANT,OWN,,,
ACTRESS,BONDED TRANSIT/ ENTRY,OWN,CROONER,BONDED TRANSIT/ ENTRY,OWN,,,
TEACHER,TEACHER,OWN,COOK & WAITER,LABORER,OWN,,,
MAGICIAN,BONDED TRANSIT/ ENTRY,OWN,TREASURER,,,,,
MINOR,UNKNOWN,AFFILIATED,PROFESSOR OF HISTORY,TEACHER,OWN,,,
